INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=0 id=stage101_leaf_transaction seconds=1100.051054000
STAGE101_PROFILE depth=1 id=stage101_input_admission seconds=2.282445000
STAGE101_PROFILE depth=1 id=stage101_compact_replay seconds=0.189862000
STAGE101_PROFILE depth=1 id=stage101_prepared_proof_transaction seconds=5.864306000
STAGE101_PROFILE depth=1 id=stage101_prove seconds=1089.657096000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001037000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.001862000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.005115000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.011814000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.035363000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.071886000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.075471000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.168669000
STAGE101_PROFILE depth=2 id=merkle_commit seconds=24.894598000
STAGE101_PROFILE depth=2 id=riscv_opcode_trace_generation seconds=12.023644000
STAGE101_PROFILE depth=3 id=riscv_infrastructure_trace_generation seconds=11.945272000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000013000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000010000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000013000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000021000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000031000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000024000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000012000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000023000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000010000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000020000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000017000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000020000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000012000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000021000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000010000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000021000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000012000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000013000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000028000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000023000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000049000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000024000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000045000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000021000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000045000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000030000
