test-ethereum-incremental-leaf-universal-proof-v4-genuine
+- genuine two-segment Ethereum incremental role0 proof guard
   +- run test failure
ETHEREUM_INCREMENTAL_ROLE0_PHASE phase=stage101_build source=darwin_proc_pid_rusage_v6 wall_ns=79355602250 process_cpu_ns=102104098583 parallelism_milli=1286 peak_footprint_bytes=1154549104 energy_nj=436688763456 instructions=1974740690074 cycles=398438238522 workers=1 host_byte_budget=8589934592
ETHEREUM_INCREMENTAL_ROLE0_PHASE phase=cold_open source=darwin_proc_pid_rusage_v6 wall_ns=46747151750 process_cpu_ns=49291559458 parallelism_milli=1054 peak_footprint_bytes=1154549104 energy_nj=227148312318 instructions=1099961973255 cycles=195889658239 workers=1 host_byte_budget=8589934592
ETHEREUM_INCREMENTAL_ROLE0_PHASE phase=campaign source=darwin_proc_pid_rusage_v6 wall_ns=1499935584 process_cpu_ns=1499820042 parallelism_milli=999 peak_footprint_bytes=1154549104 energy_nj=7547980773 instructions=33643218923 cycles=5969146849 workers=1 host_byte_budget=8589934592
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_INVALID operation=record-capacity-exceeded ptr=0x151e0cb80 old_bytes=0 new_bytes=64 caller=0x10473b554 active=4096 active_bytes=4277308 untracked=0
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b60300 bytes=144 caller=0x1047bd2e0
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b60200 bytes=168 caller=0x10472fb4c
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b50600 bytes=456 caller=0x10472fb70
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b0c000 bytes=9956 caller=0x1047bd420
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b50400 bytes=496 caller=0x1047be684
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x128ba0000 bytes=128 caller=0x104730ee0
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x128ba0080 bytes=128 caller=0x104732bc8
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b40c00 bytes=960 caller=0x104731b80
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x151df0000 bytes=124 caller=0x1047be4bc
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x170b23000 bytes=3720 caller=0x104738c6c
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x128b30000 bytes=13024 caller=0x104737454
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x665678000 bytes=39264 caller=0x104736a20
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x6652d0000 bytes=2849420 caller=0x1047376e0
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x664ba0000 bytes=643352 caller=0x104737684
ETHEREUM_INCREMENTAL_ROLE0_ALLOCATOR_LIVE ptr=0x128bb0040 bytes=48 caller=0x104736a20
