test-recursive-common-ethereum-incremental-leaf-field-public-v4
+- recursive common Ethereum incremental leaf V4 structural guard
   +- run test stderr
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=segment_leaf row=.{ .row_mask = 1, .segment_mask = 1, .binary_mask = 0, .verifier_id = 0, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 0, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 16 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 0, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 1, .constant_value = 16, .source_hash_id = 0, .source_word_index = 8 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 0, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 0, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 8 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=segment_leaf row=.{ .row_mask = 1, .segment_mask = 1, .binary_mask = 0, .verifier_id = 0, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 1, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 17 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 1, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 1, .constant_value = 16, .source_hash_id = 0, .source_word_index = 9 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 1, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 0, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 9 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=segment_leaf row=.{ .row_mask = 1, .segment_mask = 1, .binary_mask = 0, .verifier_id = 0, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 2, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 18 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 2, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 1, .constant_value = 16, .source_hash_id = 0, .source_word_index = 10 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 2, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 0, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 10 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=segment_leaf row=.{ .row_mask = 1, .segment_mask = 1, .binary_mask = 0, .verifier_id = 0, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 3, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 0, .constant_value = 16, .source_hash_id = 0, .source_word_index = 19 }
RECORDED_TRANSCRIPT_PAYLOAD_ROW kind=binary_node row=.{ .row_mask = 1, .segment_mask = 0, .binary_mask = 1, .verifier_id = 1, .sequence = 0, .tag = 512, .args = { 0, 0, 0, 0 }, .payload_index = 3, .source_kind = .protocol, .item_index = 0, .limb_index = 0, .constant_mask = 1, .input_use_count = 1, .constant_value = 16, .source_hash_id = 0, .source_word_index = 11 }
