
NOTICE: Existing SQLite export found: /workspace/nsys-b7-log20x100.sqlite
        It is assumed file was previously exported from: /workspace/nsys-b7-log20x100.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/nsys-b7-log20x100.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.3,11853281,6,1975546.8,1975184.5,308148,3643596,1825982.8,"void stwo::cuda::transform::n2b_continue<(unsigned int)4, (unsigned int)4, (bool)0>(stwo::cuda::transform::ColumnSlab<const unsigned int>, const unsigned int *, stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, unsigned int, const unsigned int *)"
10.3,5740339,6,956723.2,956510.0,104230,1809877,933414.9,"void stwo::cuda::transform::n2b_final_warp<(unsigned int)2, (bool)1>(stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, const unsigned int *)"
8.3,4621293,6,770215.5,769170.0,98054,1444830,736130.1,"void stwo::cuda::transform::n2b_continue<(unsigned int)3, (unsigned int)3, (bool)1>(stwo::cuda::transform::ColumnSlab<const unsigned int>, const unsigned int *, stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, unsigned int, const unsigned int *)"
7.8,4330521,3,1443507.0,1443006.0,1438109,1449406,5665.1,"void stwo::cuda::transform::b2n_continue<(unsigned int)3, (bool)1, (bool)0>(stwo::cuda::transform::ColumnSlab<unsigned int>, stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, unsigned int, unsigned int, const unsigned int *, unsigned int)"
6.2,3450496,6,575082.7,575493.5,121927,1027875,495145.4,"stwo::cuda::blake2s::contiguous_leaf_kernel(unsigned int, unsigned int, const unsigned int *, unsigned long, stwo::cuda::blake2s::Hash *)"
5.8,3228370,3,1076123.3,1075814.0,1075398,1077158,919.9,"stwo::cuda::quotient::accumulate_single_write_kernel(const unsigned int *, const stwo::cuda::quotient::BatchTermDescriptor *, unsigned int, unsigned int, unsigned int, const unsigned int *, unsigned long, unsigned int, const stwo::cuda::oods::QM31 *, unsigned int, const unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned long)"
5.6,3133544,306,10240.3,3808.0,3681,144841,21049.6,"stwo::cuda::blake2s::child_layer_kernel(const stwo::cuda::blake2s::Hash *, unsigned int, stwo::cuda::blake2s::Hash *)"
5.6,3127722,3,1042574.0,1042660.0,1042019,1043043,517.4,stwo_native_constraint_wide_fibonacci_slab_v1_6f60dbf6e15716eb
5.3,2955102,6,492517.0,492319.5,60900,924636,472661.4,"void stwo::cuda::transform::b2n_continue<(unsigned int)3, (bool)0, (bool)0>(stwo::cuda::transform::ColumnSlab<unsigned int>, stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, unsigned int, unsigned int, const unsigned int *, unsigned int)"
4.9,2742002,3,914000.7,913692.0,913051,915259,1135.9,"void stwo::cuda::transform::b2n_init_warp<(unsigned int)3>(stwo::cuda::transform::ColumnSlab<const unsigned int>, stwo::cuda::transform::ColumnSlab<unsigned int>, unsigned int, unsigned int, const unsigned int *)"
