# stwo-zig typed-air production-shadow-report v1
# logical-schema 2; counts are per independently compiled family
family	main_columns	source_nodes	typed_nodes	canonical_merges	direct_constraints	lookups	batch_size	interaction_constraints	interaction_columns	max_direct_degree	max_numerator_degree	max_denominator_degree	max_interaction_degree	direct_expansion_bits	interaction_expansion_bits	role_request	role_consume	role_emit	dep_registers_state	dep_memory_access	dep_program_access	dep_merkle	dep_poseidon2	dep_poseidon2_io	dep_bitwise	dep_range_check_20	dep_range_check_8_11	dep_range_check_8_8_4	dep_range_check_8_8	dep_range_check_m31
base_alu_reg	35	160	160	0	22	18	2	9	36	3	1	1	3	1	1	10	4	4	2	6	1	0	0	0	4	3	0	0	2	0
base_alu_imm	35	145	145	0	22	16	2	8	32	3	1	1	3	1	1	10	3	3	2	4	1	0	0	0	4	2	1	0	2	0
shifts_reg	60	362	362	0	70	20	2	10	40	3	1	1	3	1	1	12	4	4	2	6	1	0	0	0	0	4	0	0	6	1
shifts_imm	51	341	341	0	67	16	2	8	32	3	1	1	3	1	1	10	3	3	2	4	1	0	0	0	0	2	0	0	6	1
lt_reg	44	167	167	0	36	14	2	7	28	3	1	1	3	1	1	6	4	4	2	6	1	0	0	0	0	4	0	0	1	0
lt_imm	37	163	163	0	33	11	2	6	24	3	1	1	3	1	1	5	3	3	2	4	1	0	0	0	0	3	0	1	0	0
branch_eq	30	102	102	0	18	9	2	5	20	3	1	2	3	1	1	3	3	3	2	4	1	0	0	0	0	2	0	0	0	0
branch_lt	37	161	161	0	33	11	2	6	24	3	1	1	3	1	1	5	3	3	2	4	1	0	0	0	0	3	0	0	1	0
lui	18	55	55	0	9	7	2	4	16	2	1	1	3	0	1	3	2	2	2	2	1	0	0	0	0	1	0	1	0	0
auipc	29	108	108	0	17	12	2	6	24	2	1	1	3	0	1	8	2	2	2	2	1	0	0	0	0	1	0	0	4	2
jalr	41	153	153	0	23	18	2	9	36	2	1	1	3	0	1	12	3	3	2	4	1	0	0	0	0	3	0	1	5	2
jal	20	60	60	0	10	8	2	4	16	2	1	1	3	0	1	4	2	2	2	2	1	0	0	0	0	1	0	0	1	1
load_store	48	304	302	2	63	16	2	8	32	3	1	1	3	1	1	8	4	4	2	6	1	0	0	0	0	4	0	0	0	3
mul	39	121	121	0	17	16	1	16	64	2	1	2	3	0	1	8	4	4	2	6	1	0	0	0	0	3	4	0	0	0
mulh	47	210	210	0	24	22	1	22	88	2	1	2	3	0	1	14	4	4	2	6	1	0	0	0	0	3	8	0	0	2
div	67	423	423	0	79	25	1	25	100	3	2	2	3	1	1	17	4	4	2	6	1	0	0	0	0	4	8	0	3	1
fence	6	16	16	0	2	3	2	2	8	2	1	1	3	0	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0
