report_schema	report_schema_version	report_sha256	family_index	family	native_definition	program_authority	production_activation	lookup_geometry_authority	schema	schema_version	profile_sha256	program_digest_format	program_sha256	physical_main_columns	logical_input_nodes	constraint_roots	unique_constraint_root_values	duplicate_constraint_root_references	effects	lookup_events	non_lookup_effects	lookup_batch_size	lookup_batches	interaction_coordinates_per_batch	interaction_columns	maximum_logical_value_degree	maximum_logical_constraint_degree	maximum_lookup_numerator_degree	maximum_lookup_denominator_degree	maximum_modeled_interaction_degree	materializations	materialization_outputs	materialization_dependency_edges	materializations_with_structural_reuse	maximum_materialization_body_degree	maximum_materialization_constraint_degree	expression_dag_nodes	expression_dag_edges	expression_dag_shared_nodes	expression_dag_max_fanout	constraint_effect_reachable_nodes	nodes_outside_constraint_effect_closure	source_expression_nodes	cse_merges
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	0	base_alu_reg	typed_base_alu_reg	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	ed51e0de0f5a9df33ca585e1ce2254a8398c78c164ee3566421245b39005c766	6	f8cf9c0b60b41fc948ec7c5efd61caf5abf96ec30f242c6a375845ab905e61c5	35	36	22	22	0	18	18	0	2	9	4	36	3	3	1	1	3	null	null	null	null	null	null	154	214	32	17	154	0	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	1	base_alu_imm	typed_addi	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	34057a4cdcb0b42caeeec0eadd99cf86309d5eb0405f3fbd3bb0c69829d62fb4	6	77cac74f85ee61abc8aa1ab97ee37c3f1fddb61eda7c9c982f166c75122908a6	35	36	22	22	0	16	16	0	2	8	4	32	3	3	1	1	3	null	null	null	null	null	null	147	186	26	12	147	0	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	2	shifts_reg	typed_shifts_reg	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	1e1075e9e40a0f9b17143940017a1599bd09d54b872e937e88819f3e92881a10	7	c40d1f981405a9108fe64ca3a4ec0037aa6c006733e9edd0ceb4787a4687ae09	60	65	70	70	0	20	20	0	2	10	4	40	3	3	1	1	3	null	null	null	null	null	null	369	566	68	24	363	6	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	3	shifts_imm	typed_shifts_imm	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	2845108d9a73ff569cb4989d381e2e114e8dbf53d40c6a009d7b71ff76f5db10	7	6eda0a9643861c820271cde92eb3c8f5ac99c7efbffd5a25ef0865a249e454df	51	56	67	67	0	16	16	0	2	8	4	32	3	3	1	1	3	null	null	null	null	null	null	347	540	65	24	342	5	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	4	lt_reg	typed_lt_reg	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	b3ea076ab9489c569cb4673e35711f9fc5c3c282be4987190e1cd1ddc7e2adf2	7	e28ede4abf49917335d8ecec6e4f5c6bfdea3e4e8f967501313a95dad4d703b0	44	45	36	36	0	14	14	0	2	7	4	28	3	3	1	1	3	null	null	null	null	null	null	168	224	41	18	164	4	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	5	lt_imm	typed_lt_imm	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	8d619f07aacfffb76b15d447dd54e474a3154f3c2b27b72fff55a7a7d1dd8cb0	7	21a4a1214f2ed1e8cb6cc311434a6114d5faf3c3e91dff3229835b1316084551	37	38	33	33	0	11	11	0	2	6	4	24	3	3	1	1	3	null	null	null	null	null	null	163	224	41	19	159	4	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	6	branch_eq	typed_branch_eq	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	e86a3005fdf381c9c784706805ba5eb1301ea5eb918f870de00a737b19345171	9	4b7ac248bf672d93a01cbd659e59a7a98f1ec81ab5b50dd29090ca8816e49b09	30	31	18	18	0	9	9	0	2	5	4	20	3	3	1	2	3	null	null	null	null	null	null	100	123	23	9	99	1	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	7	branch_lt	typed_branch_lt	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	d57b6f58e07959362e3b1a49f393e4fd72a31fa44941510f9fa301fefaebaf70	10	262eae1d57530034e41143c0c5961e3c7826d0e5c3af69a0b656ede2d0eeeded	37	40	33	33	0	11	11	0	2	6	4	24	3	3	1	1	3	null	null	null	null	null	null	164	223	42	17	161	3	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	8	lui	typed_lui	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	83fc69160e9c942462d8b4503186558e498859b428108587886eaac5fd8889b2	5	3f69a47662e9216f86c03bba257b52fb280542af610972a4c98cf7630252fd68	18	19	9	9	0	7	7	0	2	4	4	16	2	2	1	1	3	null	null	null	null	null	null	51	50	9	8	51	0	null	null
stwo.typed-air.native-family-static-profile.v1	1	0dd67acd8705f77a5c482a8d3706b38929d799091b3971e995b20dcc44f56772	9	auipc	typed_auipc	native_typed_definition	not_assessed	current_audited_protocol	stwo.typed-air.static-profile.v1	1	ac03d2e2b145c9721f22b1b1e6981830171706e2a27d1cbda5ce1dc39338e116	7	b65eb0279c680db06f9fe36f4bbf3db1f1c99d913afb5e0a0e00e3a1b0f9abfe	29	31	17	17	0	12	12	0	2	6	4	24	2	2	1	1	3	null	null	null	null	null	null	106	132	25	8	105	1	null	null
