DETACHED_PARENT_CHILD_PHASE lane=1 prefix_ns=156083 transcript_ns=145083 pcs_ns=1181941917 boundary_ns=8550833 composition_ns=6357959
DETACHED_PARENT_CHILD lane=1 preparation_ns=1197207042
DETACHED_PARENT_CHILD_PHASE lane=2 prefix_ns=137334 transcript_ns=66916 pcs_ns=1170626250 boundary_ns=8719625 composition_ns=6407250
DETACHED_PARENT_CHILD lane=2 preparation_ns=2383186292
riscv_detached_arithmetic_fusion lane=501 dot4_rows=395 multiply_add_rows=8781
riscv_detached_arithmetic_fusion lane=511 dot4_rows=2616 multiply_add_rows=3495
riscv_detached_arithmetic_fusion lane=412 dot4_rows=105867 multiply_add_rows=32946
riscv_detached_arithmetic_fusion lane=402 dot4_rows=5790 multiply_add_rows=103659
riscv_detached_arithmetic_fusion lane=502 dot4_rows=395 multiply_add_rows=8781
riscv_detached_arithmetic_fusion lane=512 dot4_rows=2616 multiply_add_rows=3495
riscv_detached_arithmetic_fusion lane=413 dot4_rows=105867 multiply_add_rows=32946
riscv_detached_arithmetic_fusion lane=403 dot4_rows=5790 multiply_add_rows=103659
riscv_detached_arithmetic_fusion lane=521 dot4_rows=2592 multiply_add_rows=2612
DETACHED_PARENT_ROW row=0 rows=6378 logical_bytes=306144
DETACHED_PARENT_ROW row=1 rows=2768 logical_bytes=531456
DETACHED_PARENT_ROW row=2 rows=2768 logical_bytes=409664
DETACHED_PARENT_ROW row=3 rows=206 logical_bytes=29664
DETACHED_PARENT_ROW row=4 rows=20496 logical_bytes=1557696
DETACHED_PARENT_ROW row=5 rows=18892 logical_bytes=1586928
DETACHED_PARENT_ROW row=6 rows=4 logical_bytes=1088
DETACHED_PARENT_ROW row=7 rows=4 logical_bytes=240
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=66 logical_bytes=8448
DETACHED_PARENT_ROW row=10 rows=8 logical_bytes=736
DETACHED_PARENT_ROW row=11 rows=61669 logical_bytes=5673548
DETACHED_PARENT_ROW row=12 rows=0 logical_bytes=0
DETACHED_PARENT_ROW row=13 rows=80133 logical_bytes=3205320
DETACHED_PARENT_ROW row=14 rows=231928 logical_bytes=50096448
DETACHED_PARENT_ROW row=20 rows=386 logical_bytes=114256
DETACHED_PARENT_ROW row=21 rows=6176 logical_bytes=2593920
DETACHED_PARENT_ROW row=22 rows=18 logical_bytes=1368
DETACHED_PARENT_ROW row=23 rows=94956 logical_bytes=33044688
DETACHED_PARENT_ROW row=24 rows=782056 logical_bytes=81333824
DETACHED_PARENT_ROW row=25 rows=23160 logical_bytes=8708160
DETACHED_PARENT_ROW row=26 rows=5790 logical_bytes=972720
DETACHED_PARENT_ROW row=27 rows=1930 logical_bytes=216160
DETACHED_PARENT_ROW row=28 rows=2702 logical_bytes=237776
DETACHED_PARENT_ROW row=29 rows=141326 logical_bytes=16959120
DETACHED_PARENT_ROW row=30 rows=680119 logical_bytes=73452852
DETACHED_PARENT_ROW row=31 rows=36418 logical_bytes=4661504
DETACHED_PARENT_ROW row=32 rows=218612 logical_bytes=44596848
DETACHED_PARENT_ROW row=33 rows=49794 logical_bytes=9162096
DETACHED_PARENT_PREPARATION rows_bytes=339472072 providers=176468 graph_ns=2723522083 snapshot_pending=true
{"endpoint":"detached_parent_key_setup","key_sha256":[124,203,201,74,57,17,232,181,199,77,243,90,117,82,166,39,116,215,138,59,137,49,39,2,162,51,14,198,177,207,210,185],"proof_created":false}
