000-baseline-cpu: round 1, sha256/128
000-baseline-metal: round 1, sha256/128
001-current-cpu: round 1, sha256/128
001-current-metal: round 1, sha256/128
002-current-cpu: round 1, sha256/256
002-current-metal: round 1, sha256/256
003-baseline-cpu: round 1, sha256/256
003-baseline-metal: round 1, sha256/256
004-baseline-cpu: round 1, sha256/512
004-baseline-metal: round 1, sha256/512
005-current-cpu: round 1, sha256/512
005-current-metal: round 1, sha256/512
006-current-cpu: round 1, sha256/1024
006-current-metal: round 1, sha256/1024
007-baseline-cpu: round 1, sha256/1024
007-baseline-metal: round 1, sha256/1024
008-baseline-cpu: round 1, sha256/2048
008-baseline-metal: round 1, sha256/2048
009-current-cpu: round 1, sha256/2048
009-current-metal: round 1, sha256/2048
010-current-cpu: round 1, keccak/128
010-current-metal: round 1, keccak/128
011-baseline-cpu: round 1, keccak/128
011-baseline-metal: round 1, keccak/128
012-baseline-cpu: round 1, keccak/256
012-baseline-metal: round 1, keccak/256
013-current-cpu: round 1, keccak/256
013-current-metal: round 1, keccak/256
014-current-cpu: round 1, keccak/512
014-current-metal: round 1, keccak/512
015-baseline-cpu: round 1, keccak/512
015-baseline-metal: round 1, keccak/512
016-baseline-cpu: round 1, keccak/1024
016-baseline-metal: round 1, keccak/1024
017-current-cpu: round 1, keccak/1024
017-current-metal: round 1, keccak/1024
018-current-cpu: round 1, keccak/2048
018-current-metal: round 1, keccak/2048
019-baseline-cpu: round 1, keccak/2048
019-baseline-metal: round 1, keccak/2048
020-baseline-cpu: round 1, poseidon2_m31/2
020-baseline-metal: round 1, poseidon2_m31/2
021-current-cpu: round 1, poseidon2_m31/2
021-current-metal: round 1, poseidon2_m31/2
022-current-cpu: round 1, poseidon2_m31/4
022-current-metal: round 1, poseidon2_m31/4
023-baseline-cpu: round 1, poseidon2_m31/4
023-baseline-metal: round 1, poseidon2_m31/4
024-baseline-cpu: round 1, poseidon2_m31/8
024-baseline-metal: round 1, poseidon2_m31/8
025-current-cpu: round 1, poseidon2_m31/8
025-current-metal: round 1, poseidon2_m31/8
026-current-cpu: round 1, poseidon2_m31/12
026-current-metal: round 1, poseidon2_m31/12
027-baseline-cpu: round 1, poseidon2_m31/12
027-baseline-metal: round 1, poseidon2_m31/12
028-baseline-cpu: round 1, poseidon2_m31/16
028-baseline-metal: round 1, poseidon2_m31/16
029-current-cpu: round 1, poseidon2_m31/16
029-current-metal: round 1, poseidon2_m31/16
030-current-cpu: round 1, ecdsa_secp256k1/32
030-current-metal: round 1, ecdsa_secp256k1/32
031-baseline-cpu: round 1, ecdsa_secp256k1/32
031-baseline-metal: round 1, ecdsa_secp256k1/32
032-current-cpu: round 2, sha256/128
032-current-metal: round 2, sha256/128
033-baseline-cpu: round 2, sha256/128
033-baseline-metal: round 2, sha256/128
034-baseline-cpu: round 2, sha256/256
034-baseline-metal: round 2, sha256/256
035-current-cpu: round 2, sha256/256
035-current-metal: round 2, sha256/256
036-current-cpu: round 2, sha256/512
036-current-metal: round 2, sha256/512
037-baseline-cpu: round 2, sha256/512
037-baseline-metal: round 2, sha256/512
038-baseline-cpu: round 2, sha256/1024
038-baseline-metal: round 2, sha256/1024
039-current-cpu: round 2, sha256/1024
039-current-metal: round 2, sha256/1024
040-current-cpu: round 2, sha256/2048
040-current-metal: round 2, sha256/2048
041-baseline-cpu: round 2, sha256/2048
041-baseline-metal: round 2, sha256/2048
042-baseline-cpu: round 2, keccak/128
042-baseline-metal: round 2, keccak/128
043-current-cpu: round 2, keccak/128
043-current-metal: round 2, keccak/128
044-current-cpu: round 2, keccak/256
044-current-metal: round 2, keccak/256
045-baseline-cpu: round 2, keccak/256
045-baseline-metal: round 2, keccak/256
046-baseline-cpu: round 2, keccak/512
046-baseline-metal: round 2, keccak/512
047-current-cpu: round 2, keccak/512
047-current-metal: round 2, keccak/512
048-current-cpu: round 2, keccak/1024
048-current-metal: round 2, keccak/1024
049-baseline-cpu: round 2, keccak/1024
049-baseline-metal: round 2, keccak/1024
050-baseline-cpu: round 2, keccak/2048
050-baseline-metal: round 2, keccak/2048
051-current-cpu: round 2, keccak/2048
051-current-metal: round 2, keccak/2048
052-current-cpu: round 2, poseidon2_m31/2
052-current-metal: round 2, poseidon2_m31/2
053-baseline-cpu: round 2, poseidon2_m31/2
053-baseline-metal: round 2, poseidon2_m31/2
054-baseline-cpu: round 2, poseidon2_m31/4
054-baseline-metal: round 2, poseidon2_m31/4
055-current-cpu: round 2, poseidon2_m31/4
055-current-metal: round 2, poseidon2_m31/4
056-current-cpu: round 2, poseidon2_m31/8
056-current-metal: round 2, poseidon2_m31/8
057-baseline-cpu: round 2, poseidon2_m31/8
057-baseline-metal: round 2, poseidon2_m31/8
058-baseline-cpu: round 2, poseidon2_m31/12
058-baseline-metal: round 2, poseidon2_m31/12
059-current-cpu: round 2, poseidon2_m31/12
059-current-metal: round 2, poseidon2_m31/12
060-current-cpu: round 2, poseidon2_m31/16
060-current-metal: round 2, poseidon2_m31/16
061-baseline-cpu: round 2, poseidon2_m31/16
061-baseline-metal: round 2, poseidon2_m31/16
062-baseline-cpu: round 2, ecdsa_secp256k1/32
062-baseline-metal: round 2, ecdsa_secp256k1/32
063-current-cpu: round 2, ecdsa_secp256k1/32
063-current-metal: round 2, ecdsa_secp256k1/32
Complete: /Users/theodorepender/Coding/stark-proving-engineering/stwo-zig/.git/local-riscv-proving-stack/csp-paired-ad273a96/report.json
