test-riscv-keccak-one-proof
+- complete VM Keccak one lifecycle identity guard
   +- run test stderr
RISCV_KECCAK_SHAPE calls=1 log_size=5 rows=29 preprocessed_columns=31 main_columns=2204 interaction_columns=4164
RISCV_KECCAK_STAGE calls=1 depth=0 id=riscv_ethereum_commitment_witness seconds=0.000574000
RISCV_KECCAK_STAGE calls=1 depth=0 id=riscv_ethereum_extension_witness seconds=0.005190000
RISCV_KECCAK_STAGE calls=1 depth=0 id=riscv_ethereum_preprocessed_commit seconds=0.030031000
RISCV_KECCAK_STAGE calls=1 depth=0 id=riscv_ethereum_main_commit seconds=0.876556000
RISCV_KECCAK_STAGE calls=1 depth=1 id=riscv_opcode_trace_generation seconds=0.002094000
RISCV_KECCAK_STAGE calls=1 depth=2 id=riscv_infrastructure_trace_generation seconds=0.001682000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000010000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000011000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000002000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000008000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000001000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000005000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000002000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000005000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000002000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000005000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000004000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000004000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000001000
RISCV_KECCAK_STAGE calls=1 depth=1 id=evaluate_extended_domain seconds=0.000004000
RISCV_KECCAK_STAGE calls=1 depth=1 id=interpolate_columns seconds=0.000002000
