DETACHED_PARENT_CHILD lane=1 preparation_ns=88045667
DETACHED_PARENT_CHILD lane=2 preparation_ns=175904917
DETACHED_PARENT_ROW row=0 rows=428 logical_bytes=20544
DETACHED_PARENT_ROW row=1 rows=2951 logical_bytes=566592
DETACHED_PARENT_ROW row=2 rows=2951 logical_bytes=436748
DETACHED_PARENT_ROW row=3 rows=202 logical_bytes=29088
DETACHED_PARENT_ROW row=4 rows=21992 logical_bytes=1671392
DETACHED_PARENT_ROW row=5 rows=20440 logical_bytes=1716960
DETACHED_PARENT_ROW row=6 rows=2 logical_bytes=544
DETACHED_PARENT_ROW row=7 rows=2 logical_bytes=120
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=40 logical_bytes=5120
DETACHED_PARENT_ROW row=10 rows=4 logical_bytes=368
DETACHED_PARENT_ROW row=11 rows=42701 logical_bytes=3928492
DETACHED_PARENT_ROW row=12 rows=644 logical_bytes=255024
DETACHED_PARENT_ROW row=13 rows=44115 logical_bytes=1764600
DETACHED_PARENT_ROW row=20 rows=6 logical_bytes=1776
DETACHED_PARENT_ROW row=21 rows=228 logical_bytes=95760
DETACHED_PARENT_ROW row=22 rows=40 logical_bytes=3040
DETACHED_PARENT_ROW row=23 rows=1614 logical_bytes=561672
DETACHED_PARENT_ROW row=24 rows=31292 logical_bytes=3254368
DETACHED_PARENT_ROW row=25 rows=192 logical_bytes=72192
DETACHED_PARENT_ROW row=26 rows=96 logical_bytes=16128
DETACHED_PARENT_ROW row=27 rows=96 logical_bytes=10752
DETACHED_PARENT_ROW row=28 rows=108 logical_bytes=9504
DETACHED_PARENT_ROW row=29 rows=1314 logical_bytes=157680
DETACHED_PARENT_ROW row=30 rows=159752 logical_bytes=25560320
DETACHED_PARENT_ROW row=31 rows=3221 logical_bytes=412288
DETACHED_PARENT_ROW row=32 rows=180955 logical_bytes=36914820
DETACHED_PARENT_ROW row=33 rows=1224 logical_bytes=225216
DETACHED_PARENT_PREPARATION rows_bytes=77700508 providers=6721 graph_ns=250894625 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_development_q3","profile":"tiny-memory-root-v2","publication_mode":"root","proof_profile":"detached_continuation_development_q3_v2","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[160,195,155,77,79,204,127,148,205,55,214,45,214,113,249,11,252,119,140,184,121,191,242,158,167,187,221,33,114,83,154,170],[2,105,125,71,17,31,164,206,201,107,60,45,112,31,89,148,14,176,112,216,185,74,156,69,214,61,184,243,49,242,5,23]],"artifacts":{"key_sha256":[59,150,36,123,105,173,132,153,249,61,232,91,245,40,68,77,210,127,169,70,195,176,111,49,238,91,240,175,159,33,208,182],"claims_sha256":[56,214,210,2,105,229,77,38,174,240,33,133,19,194,15,35,194,91,210,139,135,95,130,142,1,121,222,235,55,48,24,26],"proof_sha256":[170,251,143,52,33,17,59,173,186,89,26,72,187,50,189,135,53,194,179,225,17,115,35,170,27,138,160,105,107,28,134,4],"proof_bytes":96300},"candidate_root_words_sha256":[42,48,118,131,190,32,18,209,132,86,191,192,80,219,244,80,233,26,15,194,45,168,196,194,111,149,164,189,198,88,103,36],"circuit_identity":[59,59,15,15,158,174,188,39,130,193,82,228,23,141,157,146,132,68,197,214,201,43,33,22,24,109,185,24,165,26,100,189],"preparation_ns":390510750,"key_preparation_ns":230457750,"proof_ns":1583829250,"request_ns":2253262292}
