DETACHED_PARENT_CHILD lane=1 preparation_ns=87076125
DETACHED_PARENT_CHILD lane=2 preparation_ns=172395834
DETACHED_PARENT_ROW row=0 rows=428 logical_bytes=20544
DETACHED_PARENT_ROW row=1 rows=2952 logical_bytes=566784
DETACHED_PARENT_ROW row=2 rows=2952 logical_bytes=436896
DETACHED_PARENT_ROW row=3 rows=202 logical_bytes=29088
DETACHED_PARENT_ROW row=4 rows=22000 logical_bytes=1672000
DETACHED_PARENT_ROW row=5 rows=20444 logical_bytes=1717296
DETACHED_PARENT_ROW row=6 rows=2 logical_bytes=544
DETACHED_PARENT_ROW row=7 rows=2 logical_bytes=120
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=40 logical_bytes=5120
DETACHED_PARENT_ROW row=10 rows=4 logical_bytes=368
DETACHED_PARENT_ROW row=11 rows=42769 logical_bytes=3934748
DETACHED_PARENT_ROW row=12 rows=644 logical_bytes=255024
DETACHED_PARENT_ROW row=13 rows=43992 logical_bytes=1759680
DETACHED_PARENT_ROW row=20 rows=6 logical_bytes=1776
DETACHED_PARENT_ROW row=21 rows=228 logical_bytes=95760
DETACHED_PARENT_ROW row=22 rows=40 logical_bytes=3040
DETACHED_PARENT_ROW row=23 rows=1614 logical_bytes=561672
DETACHED_PARENT_ROW row=24 rows=31292 logical_bytes=3254368
DETACHED_PARENT_ROW row=25 rows=192 logical_bytes=72192
DETACHED_PARENT_ROW row=26 rows=96 logical_bytes=16128
DETACHED_PARENT_ROW row=27 rows=96 logical_bytes=10752
DETACHED_PARENT_ROW row=28 rows=108 logical_bytes=9504
DETACHED_PARENT_ROW row=29 rows=1314 logical_bytes=157680
DETACHED_PARENT_ROW row=30 rows=160091 logical_bytes=25614560
DETACHED_PARENT_ROW row=31 rows=3218 logical_bytes=411904
DETACHED_PARENT_ROW row=32 rows=181318 logical_bytes=36988872
DETACHED_PARENT_ROW row=33 rows=1224 logical_bytes=225216
DETACHED_PARENT_PREPARATION rows_bytes=77831036 providers=6722 graph_ns=244826584 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_development_q3","profile":"tiny-memory-continuation-span-v2","publication_mode":"intermediate","proof_profile":"detached_continuation_development_q3_v2","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[206,11,43,108,105,106,138,178,225,181,57,19,51,150,132,88,202,180,78,198,92,49,87,252,46,65,176,39,4,10,208,222],[171,162,144,203,37,210,79,232,95,110,223,187,166,17,29,32,92,146,174,230,99,13,51,129,171,254,54,124,242,211,138,154]],"artifacts":{"key_sha256":[231,89,78,28,11,112,48,112,243,8,106,16,226,128,123,104,156,135,155,126,22,131,218,22,65,52,202,126,98,145,2,240],"claims_sha256":[104,77,49,131,93,29,25,36,248,163,24,74,161,81,181,213,160,229,202,179,198,108,212,210,124,193,165,162,230,122,191,72],"proof_sha256":[57,144,160,148,6,2,215,239,193,172,118,155,212,172,163,137,230,168,31,93,24,2,29,213,110,31,64,197,59,236,124,109],"proof_bytes":96483},"candidate_root_words_sha256":[77,89,137,102,64,179,138,134,5,54,251,123,88,68,134,154,114,29,110,178,246,197,251,23,98,148,118,215,48,203,94,37],"circuit_identity":[252,199,74,172,38,90,193,175,187,166,117,52,62,136,72,111,216,213,161,185,182,186,196,223,77,0,59,118,7,13,102,65],"preparation_ns":388656792,"key_preparation_ns":235789416,"proof_ns":1545054875,"request_ns":2213778917}
