DETACHED_PARENT_CHILD lane=1 preparation_ns=88528917
DETACHED_PARENT_CHILD lane=2 preparation_ns=176743333
DETACHED_PARENT_ROW row=0 rows=428 logical_bytes=20544
DETACHED_PARENT_ROW row=1 rows=2951 logical_bytes=566592
DETACHED_PARENT_ROW row=2 rows=2951 logical_bytes=436748
DETACHED_PARENT_ROW row=3 rows=202 logical_bytes=29088
DETACHED_PARENT_ROW row=4 rows=21992 logical_bytes=1671392
DETACHED_PARENT_ROW row=5 rows=20440 logical_bytes=1716960
DETACHED_PARENT_ROW row=6 rows=2 logical_bytes=544
DETACHED_PARENT_ROW row=7 rows=2 logical_bytes=120
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=40 logical_bytes=5120
DETACHED_PARENT_ROW row=10 rows=4 logical_bytes=368
DETACHED_PARENT_ROW row=11 rows=42661 logical_bytes=3924812
DETACHED_PARENT_ROW row=12 rows=644 logical_bytes=255024
DETACHED_PARENT_ROW row=13 rows=44091 logical_bytes=1763640
DETACHED_PARENT_ROW row=20 rows=6 logical_bytes=1776
DETACHED_PARENT_ROW row=21 rows=228 logical_bytes=95760
DETACHED_PARENT_ROW row=22 rows=40 logical_bytes=3040
DETACHED_PARENT_ROW row=23 rows=1614 logical_bytes=561672
DETACHED_PARENT_ROW row=24 rows=31292 logical_bytes=3254368
DETACHED_PARENT_ROW row=25 rows=192 logical_bytes=72192
DETACHED_PARENT_ROW row=26 rows=96 logical_bytes=16128
DETACHED_PARENT_ROW row=27 rows=96 logical_bytes=10752
DETACHED_PARENT_ROW row=28 rows=108 logical_bytes=9504
DETACHED_PARENT_ROW row=29 rows=1314 logical_bytes=157680
DETACHED_PARENT_ROW row=30 rows=159752 logical_bytes=25560320
DETACHED_PARENT_ROW row=31 rows=3221 logical_bytes=412288
DETACHED_PARENT_ROW row=32 rows=180931 logical_bytes=36909924
DETACHED_PARENT_ROW row=33 rows=1224 logical_bytes=225216
DETACHED_PARENT_PREPARATION rows_bytes=77690972 providers=6721 graph_ns=252089042 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_development_q3","profile":"tiny-memory-v1","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[160,195,155,77,79,204,127,148,205,55,214,45,214,113,249,11,252,119,140,184,121,191,242,158,167,187,221,33,114,83,154,170],[2,105,125,71,17,31,164,206,201,107,60,45,112,31,89,148,14,176,112,216,185,74,156,69,214,61,184,243,49,242,5,23]],"artifacts":{"key_sha256":[38,150,22,189,80,31,12,21,120,73,228,100,118,75,232,33,52,191,33,107,109,236,194,127,171,170,212,213,243,165,92,132],"claims_sha256":[204,151,79,209,217,241,140,254,66,223,128,252,65,144,25,171,153,196,140,207,114,41,43,213,247,16,222,135,79,35,93,220],"proof_sha256":[211,39,155,244,107,60,27,162,143,231,134,252,169,17,42,93,93,53,88,182,145,68,86,149,45,167,223,84,135,109,87,209],"proof_bytes":96390},"candidate_root_words_sha256":[165,78,249,72,167,72,210,218,129,137,203,230,60,173,11,152,154,42,136,71,203,189,136,93,72,129,176,210,218,125,158,146],"circuit_identity":[12,190,204,151,226,144,170,170,103,154,183,33,7,137,55,168,57,60,246,10,254,108,191,30,1,45,71,204,192,232,20,144],"preparation_ns":394879417,"key_preparation_ns":231693708,"proof_ns":3252949625,"request_ns":3926299750}
