DETACHED_PARENT_CHILD lane=1 preparation_ns=89293959
DETACHED_PARENT_CHILD lane=2 preparation_ns=176508917
DETACHED_PARENT_ROW row=0 rows=428 logical_bytes=20544
DETACHED_PARENT_ROW row=1 rows=2951 logical_bytes=566592
DETACHED_PARENT_ROW row=2 rows=2951 logical_bytes=436748
DETACHED_PARENT_ROW row=3 rows=202 logical_bytes=29088
DETACHED_PARENT_ROW row=4 rows=21992 logical_bytes=1671392
DETACHED_PARENT_ROW row=5 rows=20440 logical_bytes=1716960
DETACHED_PARENT_ROW row=6 rows=2 logical_bytes=544
DETACHED_PARENT_ROW row=7 rows=2 logical_bytes=120
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=40 logical_bytes=5120
DETACHED_PARENT_ROW row=10 rows=4 logical_bytes=368
DETACHED_PARENT_ROW row=11 rows=42701 logical_bytes=3928492
DETACHED_PARENT_ROW row=12 rows=644 logical_bytes=255024
DETACHED_PARENT_ROW row=13 rows=44115 logical_bytes=1764600
DETACHED_PARENT_ROW row=20 rows=6 logical_bytes=1776
DETACHED_PARENT_ROW row=21 rows=228 logical_bytes=95760
DETACHED_PARENT_ROW row=22 rows=40 logical_bytes=3040
DETACHED_PARENT_ROW row=23 rows=1614 logical_bytes=561672
DETACHED_PARENT_ROW row=24 rows=31292 logical_bytes=3254368
DETACHED_PARENT_ROW row=25 rows=192 logical_bytes=72192
DETACHED_PARENT_ROW row=26 rows=96 logical_bytes=16128
DETACHED_PARENT_ROW row=27 rows=96 logical_bytes=10752
DETACHED_PARENT_ROW row=28 rows=108 logical_bytes=9504
DETACHED_PARENT_ROW row=29 rows=1314 logical_bytes=157680
DETACHED_PARENT_ROW row=30 rows=159752 logical_bytes=25560320
DETACHED_PARENT_ROW row=31 rows=3221 logical_bytes=412288
DETACHED_PARENT_ROW row=32 rows=180955 logical_bytes=36914820
DETACHED_PARENT_ROW row=33 rows=1224 logical_bytes=225216
DETACHED_PARENT_PREPARATION rows_bytes=77700508 providers=6721 graph_ns=251320917 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_development_q3","profile":"tiny-memory-root-v2","publication_mode":"root","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[160,195,155,77,79,204,127,148,205,55,214,45,214,113,249,11,252,119,140,184,121,191,242,158,167,187,221,33,114,83,154,170],[2,105,125,71,17,31,164,206,201,107,60,45,112,31,89,148,14,176,112,216,185,74,156,69,214,61,184,243,49,242,5,23]],"artifacts":{"key_sha256":[59,150,36,123,105,173,132,153,249,61,232,91,245,40,68,77,210,127,169,70,195,176,111,49,238,91,240,175,159,33,208,182],"claims_sha256":[77,80,36,88,114,192,156,233,74,13,248,198,91,98,252,58,92,187,114,247,188,230,158,40,68,32,149,59,1,90,124,169],"proof_sha256":[217,65,80,109,178,142,177,231,27,80,88,55,92,183,8,154,72,203,30,62,41,67,137,63,197,57,128,59,225,31,196,125],"proof_bytes":95491},"candidate_root_words_sha256":[219,91,188,127,103,70,146,7,192,254,30,127,208,58,51,233,74,71,171,14,150,118,132,24,153,89,249,217,181,200,49,136],"circuit_identity":[59,59,15,15,158,174,188,39,130,193,82,228,23,141,157,146,132,68,197,214,201,43,33,22,24,109,185,24,165,26,100,189],"preparation_ns":388911500,"key_preparation_ns":240401250,"proof_ns":3275198583,"request_ns":3951359542}
