DETACHED_PARENT_CHILD lane=1 preparation_ns=1947677500
DETACHED_PARENT_CHILD lane=2 preparation_ns=3894405250
DETACHED_PARENT_ROW row=0 rows=6382 logical_bytes=306336
DETACHED_PARENT_ROW row=1 rows=2945 logical_bytes=565440
DETACHED_PARENT_ROW row=2 rows=2945 logical_bytes=435860
DETACHED_PARENT_ROW row=3 rows=210 logical_bytes=30240
DETACHED_PARENT_ROW row=4 rows=21880 logical_bytes=1662880
DETACHED_PARENT_ROW row=5 rows=20264 logical_bytes=1702176
DETACHED_PARENT_ROW row=6 rows=4 logical_bytes=1088
DETACHED_PARENT_ROW row=7 rows=4 logical_bytes=240
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=66 logical_bytes=8448
DETACHED_PARENT_ROW row=10 rows=8 logical_bytes=736
DETACHED_PARENT_ROW row=11 rows=42701 logical_bytes=3928492
DETACHED_PARENT_ROW row=12 rows=644 logical_bytes=255024
DETACHED_PARENT_ROW row=13 rows=105218 logical_bytes=4208720
DETACHED_PARENT_ROW row=20 rows=386 logical_bytes=114256
DETACHED_PARENT_ROW row=21 rows=6176 logical_bytes=2593920
DETACHED_PARENT_ROW row=22 rows=18 logical_bytes=1368
DETACHED_PARENT_ROW row=23 rows=103834 logical_bytes=36134232
DETACHED_PARENT_ROW row=24 rows=853232 logical_bytes=88736128
DETACHED_PARENT_ROW row=25 rows=20844 logical_bytes=7837344
DETACHED_PARENT_ROW row=26 rows=5018 logical_bytes=843024
DETACHED_PARENT_ROW row=27 rows=1930 logical_bytes=216160
DETACHED_PARENT_ROW row=28 rows=2702 logical_bytes=237776
DETACHED_PARENT_ROW row=29 rows=128974 logical_bytes=15476880
DETACHED_PARENT_ROW row=30 rows=1688698 logical_bytes=270191680
DETACHED_PARENT_ROW row=31 rows=66537 logical_bytes=8516736
DETACHED_PARENT_ROW row=32 rows=1610687 logical_bytes=328580148
DETACHED_PARENT_ROW row=33 rows=46706 logical_bytes=8593904
DETACHED_PARENT_PREPARATION rows_bytes=781188636 providers=179991 graph_ns=4477958750 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_q193","profile":"tiny-memory-root-v2","publication_mode":"root","proof_profile":"recursive_q193_v1","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[200,250,53,18,209,36,34,118,190,134,35,106,142,122,238,158,63,68,166,88,204,173,160,223,22,165,236,245,58,204,187,20],[230,194,237,102,20,207,36,75,94,227,113,23,184,152,75,108,162,186,181,188,63,96,124,172,87,167,111,205,9,40,204,134]],"artifacts":{"key_sha256":[109,24,133,168,158,236,16,55,93,87,128,99,17,194,115,140,7,88,219,252,81,122,11,200,85,27,237,168,240,152,163,149],"claims_sha256":[125,37,226,96,152,70,76,18,82,218,44,252,178,244,195,231,13,26,254,116,0,67,183,185,160,46,111,73,124,239,35,84],"proof_sha256":[69,143,20,141,215,169,76,130,29,205,122,125,146,38,151,50,92,165,203,52,180,141,0,151,118,0,145,126,106,158,75,95],"proof_bytes":2563834},"candidate_root_words_sha256":[42,48,118,131,190,32,18,209,132,86,191,192,80,219,244,80,233,26,15,194,45,168,196,194,111,149,164,189,198,88,103,36],"circuit_identity":[222,154,177,67,45,26,196,31,82,40,89,107,139,247,145,200,161,14,42,48,43,167,20,88,205,159,103,222,160,255,196,69],"preparation_ns":5952969583,"key_preparation_ns":3615581708,"proof_ns":17831518292,"request_ns":27677373666}
