DETACHED_PARENT_CHILD lane=1 preparation_ns=79092208
DETACHED_PARENT_CHILD lane=2 preparation_ns=158103417
DETACHED_PARENT_ROW row=0 rows=456 logical_bytes=21888
DETACHED_PARENT_ROW row=1 rows=2868 logical_bytes=550656
DETACHED_PARENT_ROW row=2 rows=2868 logical_bytes=424464
DETACHED_PARENT_ROW row=3 rows=206 logical_bytes=29664
DETACHED_PARENT_ROW row=4 rows=21296 logical_bytes=1618496
DETACHED_PARENT_ROW row=5 rows=19692 logical_bytes=1654128
DETACHED_PARENT_ROW row=6 rows=2 logical_bytes=544
DETACHED_PARENT_ROW row=7 rows=2 logical_bytes=120
DETACHED_PARENT_ROW row=8 rows=94 logical_bytes=9400
DETACHED_PARENT_ROW row=9 rows=44 logical_bytes=5632
DETACHED_PARENT_ROW row=10 rows=4 logical_bytes=368
DETACHED_PARENT_ROW row=11 rows=62261 logical_bytes=5728012
DETACHED_PARENT_ROW row=12 rows=0 logical_bytes=0
DETACHED_PARENT_ROW row=13 rows=49569 logical_bytes=1982760
DETACHED_PARENT_ROW row=20 rows=6 logical_bytes=1776
DETACHED_PARENT_ROW row=21 rows=252 logical_bytes=105840
DETACHED_PARENT_ROW row=22 rows=44 logical_bytes=3344
DETACHED_PARENT_ROW row=23 rows=1536 logical_bytes=534528
DETACHED_PARENT_ROW row=24 rows=29576 logical_bytes=3075904
DETACHED_PARENT_ROW row=25 rows=216 logical_bytes=81216
DETACHED_PARENT_ROW row=26 rows=108 logical_bytes=18144
DETACHED_PARENT_ROW row=27 rows=108 logical_bytes=12096
DETACHED_PARENT_ROW row=28 rows=120 logical_bytes=10560
DETACHED_PARENT_ROW row=29 rows=1450 logical_bytes=174000
DETACHED_PARENT_ROW row=30 rows=190747 logical_bytes=30519520
DETACHED_PARENT_ROW row=31 rows=1094 logical_bytes=140032
DETACHED_PARENT_ROW row=32 rows=169984 logical_bytes=34676736
DETACHED_PARENT_ROW row=33 rows=1482 logical_bytes=272688
DETACHED_PARENT_PREPARATION rows_bytes=81652516 providers=6210 graph_ns=232302083 snapshot_pending=true
{"endpoint":"segment_v2_detached_two_child_parent_candidate_development_q3","profile":"tiny-parent-root-v2","publication_mode":"root","status":"unverified_candidate","verified":false,"development_only":true,"child_owners_destroyed":true,"producer_destroyed":true,"reused_admitted_parent_key":true,"child_key_sha256":[[2,155,196,177,249,52,168,5,90,106,201,14,118,237,255,187,221,12,74,148,26,253,219,210,66,123,166,182,191,237,49,10],[73,87,220,216,10,115,32,27,200,106,237,199,215,185,87,46,215,108,13,51,114,87,110,34,113,21,214,52,72,149,7,163]],"artifacts":{"key_sha256":[216,126,221,72,230,97,74,75,56,222,235,231,50,139,57,74,107,216,179,34,253,145,60,129,175,131,45,151,54,75,163,0],"claims_sha256":[215,38,105,202,20,201,141,97,103,92,27,131,70,46,37,150,46,125,79,52,105,179,43,29,68,4,216,184,228,4,36,152],"proof_sha256":[176,62,108,145,96,206,33,16,198,246,182,107,63,21,166,232,245,126,160,206,84,49,218,49,125,103,188,74,215,43,213,64],"proof_bytes":89542},"candidate_root_words_sha256":[146,55,147,104,186,17,167,123,93,180,103,116,7,40,26,104,170,98,137,111,18,39,252,220,199,94,9,229,144,209,180,82],"circuit_identity":[199,90,157,173,216,67,217,234,198,150,12,127,9,39,147,162,95,234,214,209,172,251,236,16,31,17,135,89,29,106,95,116],"preparation_ns":380022083,"key_preparation_ns":248480375,"proof_ns":3265538292,"request_ns":3928039000}
